site,PONTO,TIPO,wl_nm,refl_img
IPIXUNA,IPX001,SOLO,2497.1155,0.03511101
IPIXUNA,IPX002,SOLO,406.99341,0.040177006
IPIXUNA,IPX002,SOLO,415.83899,0.021713588
IPIXUNA,IPX002,SOLO,423.78476,0.024750134
IPIXUNA,IPX002,SOLO,431.33469,0.026016632
IPIXUNA,IPX002,SOLO,438.65689,0.03305104
IPIXUNA,IPX002,SOLO,446.01471,0.028900588
IPIXUNA,IPX002,SOLO,453.38947,0.025909819
IPIXUNA,IPX002,SOLO,460.73175,0.025925077
IPIXUNA,IPX002,SOLO,468.09842,0.017227435
IPIXUNA,IPX002,SOLO,475.31885,0.023178454
IPIXUNA,IPX002,SOLO,482.54816,0.021728847
IPIXUNA,IPX002,SOLO,489.79486000000003,0.026306555
IPIXUNA,IPX002,SOLO,497.05865,0.019928282
IPIXUNA,IPX002,SOLO,504.51172,0.028381782
IPIXUNA,IPX002,SOLO,512.04639,0.030624857
IPIXUNA,IPX002,SOLO,519.54376,0.035919737
IPIXUNA,IPX002,SOLO,527.3053,0.041382469
IPIXUNA,IPX002,SOLO,535.05255,0.054978255
IPIXUNA,IPX002,SOLO,542.88513,0.06704814
IPIXUNA,IPX002,SOLO,550.91461,0.067307547
IPIXUNA,IPX002,SOLO,559.02026,0.066224158
IPIXUNA,IPX002,SOLO,567.20612,0.064820327
IPIXUNA,IPX002,SOLO,575.48682,0.064133666
IPIXUNA,IPX002,SOLO,583.84412,0.063401237
IPIXUNA,IPX002,SOLO,592.33899,0.054886702
IPIXUNA,IPX002,SOLO,601.0144,0.063660637
IPIXUNA,IPX002,SOLO,609.95819,0.064881362
IPIXUNA,IPX002,SOLO,618.71997,0.064667732
IPIXUNA,IPX002,SOLO,627.77844,0.066041045
IPIXUNA,IPX002,SOLO,636.67627,0.068039976
IPIXUNA,IPX002,SOLO,645.96381,0.066071562
IPIXUNA,IPX002,SOLO,655.41876,0.063157089
IPIXUNA,IPX002,SOLO,664.8941,0.065171279
IPIXUNA,IPX002,SOLO,674.46436,0.066529334
IPIXUNA,IPX002,SOLO,684.13727,0.069871061
IPIXUNA,IPX002,SOLO,694.12836,0.088715956
IPIXUNA,IPX002,SOLO,703.737,0.113694973
IPIXUNA,IPX002,SOLO,713.72687,0.152742803
IPIXUNA,IPX002,SOLO,723.87994,0.195559621
IPIXUNA,IPX002,SOLO,733.9552,0.23244068
IPIXUNA,IPX002,SOLO,744.14954,0.28203249
IPIXUNA,IPX002,SOLO,754.4696,0.325459689
IPIXUNA,IPX002,SOLO,764.85645,0.347280085
IPIXUNA,IPX002,SOLO,775.2735,0.369573504
IPIXUNA,IPX002,SOLO,785.65955,0.345494777
IPIXUNA,IPX002,SOLO,796.12701,0.350652337
IPIXUNA,IPX002,SOLO,806.71106,0.369527727
IPIXUNA,IPX002,SOLO,817.31104,0.348455012
IPIXUNA,IPX002,SOLO,827.91949,0.357122153
IPIXUNA,IPX002,SOLO,838.52722000000006,0.362630665
IPIXUNA,IPX002,SOLO,849.20996,0.371587694
IPIXUNA,IPX002,SOLO,859.97314,0.379034102
IPIXUNA,IPX002,SOLO,870.74255,0.382085919
IPIXUNA,IPX002,SOLO,881.45605,0.397314399
IPIXUNA,IPX002,SOLO,892.08093,0.40511176
IPIXUNA,IPX002,SOLO,902.80164,0.384374768
